variant,calendar_date_et,symbol,trades,gross_pnl_dollars,gross_points,avg_trade_dollars,gross_return_pct_on_50k,win_rate_pct
type1_sniper,2025-09-11,MGC,2,285.00000000001364,5.700000000000273,142.50000000000682,0.5700000000000273,50.0
type1_sniper,2025-09-11,MNQ,2,210.0,21.0,105.0,0.42,50.0
type1_sniper,2025-09-12,MGC,8,1567.4999999999955,31.34999999999991,195.93749999999943,3.134999999999991,75.0
type1_sniper,2025-09-12,MNQ,2,-190.0,-19.0,-95.0,-0.38,0.0
type1_sniper,2025-09-15,MES,1,-118.75,-4.75,-118.75,-0.2375,0.0
type1_sniper,2025-09-15,MGC,1,-117.49999999999545,-2.349999999999909,-117.49999999999545,-0.2349999999999909,0.0
type1_sniper,2025-09-15,MNQ,1,-120.0,-12.0,-120.0,-0.24,0.0
type1_sniper,2025-09-15,MYM,5,503.90625,201.5625,100.78125,1.0078125,80.0
type1_sniper,2025-09-16,MGC,6,822.4999999999909,16.449999999999818,137.0833333333318,1.6449999999999818,50.0
type1_sniper,2025-09-16,MNQ,2,777.5,77.75,388.75,1.5550000000000002,100.0
type1_sniper,2025-09-16,MYM,2,72.5,29.0,36.25,0.145,50.0
type1_sniper,2025-09-17,MES,7,50.0,2.0,7.142857142857143,0.10000000000000009,28.57142857142857
type1_sniper,2025-09-17,MGC,5,1024.375000000009,20.487500000000182,204.87500000000182,2.048750000000018,60.0
type1_sniper,2025-09-17,MNQ,6,-552.5,-55.25,-92.08333333333333,-1.105,16.666666666666664
type1_sniper,2025-09-17,MYM,2,-173.125,-69.25,-86.5625,-0.34625,0.0
type1_sniper,2025-09-18,MES,3,181.25,7.25,60.416666666666664,0.3625,33.33333333333333
type1_sniper,2025-09-18,MGC,4,1558.12499999995,31.162499999999,389.5312499999875,3.1162499999999,75.0
type1_sniper,2025-09-18,MNQ,4,618.75,61.875,154.6875,1.2374999999999998,75.0
type1_sniper,2025-09-19,MGC,2,184.9999999999909,3.699999999999818,92.49999999999545,0.3699999999999818,50.0
type1_sniper,2025-09-22,MGC,1,-57.50000000000455,-1.150000000000091,-57.50000000000455,-0.11500000000000911,0.0
type1_sniper,2025-09-22,MNQ,2,320.0,32.0,160.0,0.64,100.0
type1_sniper,2025-09-23,MGC,2,429.99999999999545,8.599999999999909,214.99999999999773,0.859999999999991,50.0
type1_sniper,2025-09-23,MYM,3,790.15625,316.0625,263.3854166666667,1.5803124999999998,100.0
type1_sniper,2025-09-24,MGC,2,-405.0000000000182,-8.100000000000364,-202.5000000000091,-0.8100000000000364,0.0
type1_sniper,2025-09-24,MYM,1,-70.625,-28.25,-70.625,-0.14125,0.0
type1_sniper,2025-09-25,MNQ,3,-697.5,-69.75,-232.5,-1.395,0.0
type1_sniper,2025-09-25,MYM,1,-85.625,-34.25,-85.625,-0.17125,0.0
type1_sniper,2025-09-26,MGC,1,-432.50000000000455,-8.650000000000091,-432.50000000000455,-0.8650000000000092,0.0
type1_sniper,2025-09-29,MNQ,3,-500.0,-50.0,-166.66666666666666,-1.0,0.0
type1_sniper,2025-09-30,MCL,1,-225.00000000000142,-0.45000000000000284,-225.00000000000142,-0.45000000000000284,0.0
type1_sniper,2025-09-30,MES,5,743.75,29.75,148.75,1.4875000000000003,60.0
type1_sniper,2025-09-30,MGC,1,0.0,0.0,0.0,0.0,0.0
type1_sniper,2025-09-30,MNQ,1,0.0,0.0,0.0,0.0,0.0
type1_sniper,2025-09-30,MYM,1,-130.625,-52.25,-130.625,-0.26125,0.0
type1_sniper,2025-10-01,MCL,1,-225.00000000000142,-0.45000000000000284,-225.00000000000142,-0.45000000000000284,0.0
type1_sniper,2025-10-01,MGC,5,387.5,7.75,77.5,0.7749999999999998,40.0
type1_sniper,2025-10-01,MNQ,8,2385.625,238.5625,298.203125,4.771249999999999,87.5
type1_sniper,2025-10-01,MYM,2,120.0,48.0,60.0,0.24,50.0
type1_sniper,2025-10-02,MES,3,700.0,28.0,233.33333333333334,1.4000000000000001,66.66666666666666
type1_sniper,2025-10-02,MGC,1,-15.000000000009095,-0.3000000000001819,-15.000000000009095,-0.03000000000001819,0.0
type1_sniper,2025-10-02,MNQ,5,162.5,16.25,32.5,0.3249999999999998,40.0
type1_sniper,2025-10-02,MYM,3,705.0,282.0,235.0,1.41,66.66666666666666
type1_sniper,2025-10-03,MES,5,1125.0,45.0,225.0,2.25,60.0
type1_sniper,2025-10-03,MNQ,5,-192.5,-19.25,-38.5,-0.385,20.0
type1_sniper,2025-10-06,MGC,4,37.50000000002274,0.7500000000004547,9.375000000005684,0.07500000000004547,25.0
type1_sniper,2025-10-06,MNQ,5,-265.0,-26.5,-53.0,-0.53,40.0
type1_sniper,2025-10-06,MYM,3,1175.0,470.0,391.6666666666667,2.35,100.0
type1_sniper,2025-10-07,MES,1,-175.0,-7.0,-175.0,-0.35000000000000003,0.0
type1_sniper,2025-10-07,MGC,6,220.00000000000455,4.400000000000091,36.666666666667425,0.44000000000000905,33.33333333333333
type1_sniper,2025-10-07,MNQ,5,1185.0,118.5,237.0,2.37,60.0
type1_sniper,2025-10-08,MNQ,2,-170.0,-17.0,-85.0,-0.33999999999999997,0.0
type1_sniper,2025-10-14,MES,5,-606.25,-24.25,-121.25,-1.2125,20.0
type1_sniper,2025-10-14,MGC,1,0.0,0.0,0.0,0.0,0.0
type1_sniper,2025-10-14,MYM,4,3293.28125,1317.3125,823.3203125,6.5865625,75.0
type1_sniper,2025-10-15,MGC,4,-1219.9999999999818,-24.399999999999636,-304.99999999999545,-2.4399999999999635,0.0
type1_sniper,2025-10-16,MES,2,-125.0,-5.0,-62.5,-0.25,50.0
type1_sniper,2025-10-16,MGC,2,-500.0000000000455,-10.00000000000091,-250.00000000002274,-1.000000000000091,0.0
type1_sniper,2025-10-16,MNQ,4,1722.5,172.25,430.625,3.445,75.0
type1_sniper,2025-10-17,MES,2,750.0,30.0,375.0,1.5,50.0
type1_sniper,2025-10-17,MGC,2,-840.0000000000091,-16.800000000000182,-420.00000000000455,-1.6800000000000181,0.0
type1_sniper,2025-10-17,MNQ,1,-165.0,-16.5,-165.0,-0.33,0.0
type1_sniper,2025-10-20,MES,3,450.0,18.0,150.0,0.8999999999999999,66.66666666666666
type1_sniper,2025-10-20,MNQ,5,-102.5,-10.25,-20.5,-0.20499999999999996,20.0
type1_sniper,2025-10-21,MGC,2,-1284.999999999991,-25.699999999999818,-642.4999999999955,-2.5699999999999816,0.0
type1_sniper,2025-10-22,MES,1,-181.25,-7.25,-181.25,-0.36250000000000004,0.0
type1_sniper,2025-10-22,MNQ,1,-650.0,-65.0,-650.0,-1.3,0.0
type1_sniper,2025-10-22,MYM,1,-315.625,-126.25,-315.625,-0.6312500000000001,0.0
type1_sniper,2025-10-24,MCL,2,644.9999999999995,1.2899999999999991,322.4999999999998,1.2899999999999991,100.0
