variant,exit_month_et,symbol,trades,gross_pnl_dollars,gross_points,avg_trade_dollars,avg_points_per_trade,gross_return_pct_on_50k,win_rate_pct
type2_baseline,2025-12,MYM,1,-65.625,-26.25,-65.625,-26.25,-0.13125,0.0
type2_baseline,2026-01,MES,9,2496.875,99.875,277.43055555555554,11.097222222222221,4.99375,55.55555555555556
type2_baseline,2026-01,MGC,19,1071.8750000000455,21.43750000000091,56.41447368421292,1.1282894736842584,2.1437500000000913,47.368421052631575
type2_baseline,2026-01,MNQ,12,8615.0,861.5,717.9166666666666,71.79166666666667,17.229999999999997,50.0
type2_baseline,2026-02,MES,12,212.5,8.5,17.708333333333332,0.7083333333333334,0.4250000000000001,50.0
type2_baseline,2026-02,MGC,6,-2365.0000000000546,-47.30000000000109,-394.1666666666758,-7.883333333333515,-4.730000000000109,33.33333333333333
type2_baseline,2026-02,MNQ,19,13788.125,1378.8125,725.6907894736842,72.56907894736842,27.576249999999998,63.1578947368421
type2_baseline,2026-02,MYM,5,538.75,215.5,107.75,43.1,1.0775,40.0
type2_baseline,2026-03,MCL,2,765.0000000000006,1.5300000000000011,382.5000000000003,0.7650000000000006,1.5300000000000011,50.0
type2_baseline,2026-03,MES,5,-1012.5,-40.5,-202.5,-8.1,-2.0250000000000004,20.0
type2_baseline,2026-03,MGC,4,-2084.999999999991,-41.69999999999982,-521.2499999999977,-10.424999999999955,-4.169999999999982,0.0
type2_baseline,2026-03,MNQ,20,5942.5,594.25,297.125,29.7125,11.885000000000002,35.0
type2_baseline,2026-03,MYM,4,-1192.5,-477.0,-298.125,-119.25,-2.385,0.0
type2_baseline,2026-04,MCL,2,-929.9999999999925,-1.8599999999999852,-464.99999999999625,-0.9299999999999926,-1.859999999999985,0.0
type2_baseline,2026-04,MNQ,1,-232.5,-23.25,-232.5,-23.25,-0.46499999999999997,0.0
