side,setup_type,bridge_type,setup_tier,entry_variant,planned_entry_price,planned_stop_price,planned_target_price,partial_target_price,runner_target_price,stop_points,tp_points,planned_rr,entry_price,exit_price,realized_points,realized_dollars_5_mnq,return_pct,pnl,cycle_realized_pnl,best_day_pnl_in_cycle,consistency_ratio,prop_daily_loss_limit,prop_max_drawdown_limit,entry_apex_session_date,exit_apex_session_date,calendar_exit_date_et,entry_time_et_naive,exit_time_et_naive,entry_month_et,exit_month_et
LONG,,,,PULLBACK_1M,,,,,,,,,23302.25,23270.75,-31.5,-315.0,-0.0013518007917689978,-63.0,1191.8187500000022,1352.0,1.1344006796335413,-1000.0,-2000.0,2025-07-22,2025-07-22,2025-07-23,2025-07-23 15:00:00,2025-07-23 15:42:00,2025-07,2025-07
LONG,,,,PULLBACK_1M,,,,,,,,,23399.25,23376.25,-23.0,-230.0,-0.0009829374873125962,-46.0,1145.8187500000022,1352.0,1.1799422901746,-1000.0,-2000.0,2025-07-23,2025-07-23,2025-07-23,2025-07-23 20:18:00,2025-07-23 23:58:00,2025-07,2025-07
LONG,,,,PULLBACK_1M,,,,,,,,,23380.75,23355.25,-25.5,-255.0,-0.0010906408049357053,-51.0,1094.8187500000022,1352.0,1.234907604569247,-1000.0,-2000.0,2025-07-23,2025-07-23,2025-07-24,2025-07-24 00:57:00,2025-07-24 02:45:00,2025-07,2025-07
LONG,,,,PULLBACK_1M,,,,,,,,,23438.0,23411.75,-26.25,-262.5,-0.0011199761071764014,-52.5,1042.3187500000022,1352.0,1.297108010385496,-1000.0,-2000.0,2025-07-24,2025-07-24,2025-07-25,2025-07-24 23:17:00,2025-07-25 00:36:00,2025-07,2025-07
LONG,ASIA_CONTINUATION,iFVG,B,PULLBACK_1M,23552.5,23527.5,23602.5,23577.5,23602.5,25.0,50.0,2.0,23552.75,23579.0,26.25,262.5,0.0011145195359352211,26.25,1068.5687500000022,1352.0,1.2652438132782726,-1000.0,-2000.0,2025-07-27,2025-07-27,2025-07-28,2025-07-27 22:30:00,2025-07-28 02:06:00,2025-07,2025-07
LONG,,,,PULLBACK_1M,,,,,,,,,23552.75,23527.5,-25.25,-252.5,-0.0010720616488520962,-25.25,1043.3187500000022,1352.0,1.2958647584930274,-1000.0,-2000.0,2025-07-27,2025-07-27,2025-07-28,2025-07-27 22:30:00,2025-07-28 05:24:00,2025-07,2025-07
LONG,ASIA_CONTINUATION,iFVG,B,PULLBACK_1M,23540.75,23515.75,23590.75,23565.75,23590.75,25.0,50.0,2.0,23541.0,23567.0,26.0,260.0,0.0011044560553927774,26.0,1069.3187500000022,1352.0,1.2643563951347503,-1000.0,-2000.0,2025-07-28,2025-07-28,2025-07-29,2025-07-28 21:15:00,2025-07-29 03:37:00,2025-07,2025-07
LONG,,,,PULLBACK_1M,,,,,,,,,23541.0,23590.75,49.75,497.5,0.0021133341829149277,49.75,1119.0687500000022,1352.0,1.2081473993443186,-1000.0,-2000.0,2025-07-28,2025-07-28,2025-07-29,2025-07-28 21:15:00,2025-07-29 03:46:00,2025-07,2025-07
LONG,ASIA_CONTINUATION,iFVG,B,PULLBACK_1M,23754.0,23729.0,23804.0,23779.0,23804.0,25.0,50.0,2.0,23752.25,23777.0,24.75,247.5,0.001042006546748242,24.75,1143.8187500000022,1352.0,1.1820054532241209,-1000.0,-2000.0,2025-07-30,2025-07-30,2025-07-30,2025-07-30 20:45:00,2025-07-30 22:14:00,2025-07,2025-07
LONG,,,,PULLBACK_1M,,,,,,,,,23752.25,23804.0,51.75,517.5,0.002178740961382708,51.75,1195.5687500000022,1352.0,1.1308425383316496,-1000.0,-2000.0,2025-07-30,2025-07-30,2025-07-31,2025-07-30 20:45:00,2025-07-31 00:40:00,2025-07,2025-07
LONG,LONDON_CONTINUATION,C2C3,A,PULLBACK_1M,23811.75,23786.25,23861.25,23836.25,23861.25,25.5,49.5,1.9411764705882353,23812.0,23842.5,30.5,305.0,0.0012808667898538406,30.5,1226.0687500000022,1352.0,1.1027114099433637,-1000.0,-2000.0,2025-07-30,2025-07-30,2025-07-31,2025-07-31 03:28:00,2025-07-31 03:47:00,2025-07,2025-07
LONG,,,,PULLBACK_1M,,,,,,,,,23812.0,23786.25,-25.75,-257.5,-0.0010813875356963099,-25.75,1200.3187500000022,1352.0,1.1263674753060364,-1000.0,-2000.0,2025-07-30,2025-07-30,2025-07-31,2025-07-31 03:28:00,2025-07-31 05:36:00,2025-07,2025-07
SHORT,,,,PULLBACK_1M,,,,,,,,,23072.25,23097.25,-25.0,-250.0,-0.0010835527527657263,-50.0,1150.3187500000022,1352.0,1.175326404094515,-1000.0,-2000.0,2025-08-05,2025-08-05,2025-08-05,2025-08-05 20:56:00,2025-08-05 21:38:00,2025-08,2025-08
LONG,LONDON_CONTINUATION,C2C3,A,PULLBACK_1M,23493.5,23468.5,23671.0,23518.5,23671.0,25.0,177.5,7.1,23493.0,23519.0,26.0,260.0,0.001106712637807039,26.0,1176.3187500000022,1352.0,1.1493483377698412,-1000.0,-2000.0,2025-08-06,2025-08-06,2025-08-07,2025-08-07 03:11:00,2025-08-07 04:01:00,2025-08,2025-08
LONG,,,,PULLBACK_1M,,,,,,,,,23493.0,23493.0,0.0,0.0,0.0,0.0,1176.3187500000022,1352.0,1.1493483377698412,-1000.0,-2000.0,2025-08-06,2025-08-06,2025-08-07,2025-08-07 03:11:00,2025-08-07 11:48:00,2025-08,2025-08
LONG,,,,PULLBACK_1M,,,,,,,,,23569.0,23541.25,-27.75,-277.5,-0.0011773940345368716,-55.5,1120.8187500000022,1352.0,1.2062610480061984,-1000.0,-2000.0,2025-08-07,2025-08-07,2025-08-08,2025-08-07 20:59:00,2025-08-08 00:03:00,2025-08,2025-08
LONG,NYPM_CONTINUATION,iFVG,A,PULLBACK_1M,23700.0,23675.0,23750.0,23725.0,23750.0,25.0,50.0,2.0,23698.25,23723.0,24.75,247.5,0.0010443809142024474,24.75,1145.5687500000022,1352.0,1.1801997915882372,-1000.0,-2000.0,2025-08-07,2025-08-07,2025-08-08,2025-08-08 13:44:00,2025-08-08 16:01:00,2025-08,2025-08
LONG,,,,PULLBACK_1M,,,,,,,,,23698.25,23750.0,51.75,517.5,0.0021837055478779455,51.75,1197.3187500000022,1352.0,1.129189699902384,-1000.0,-2000.0,2025-08-07,2025-08-07,2025-08-08,2025-08-08 13:44:00,2025-08-08 16:13:00,2025-08,2025-08
LONG,ASIA_CONTINUATION,iFVG,B,PULLBACK_1M,23743.25,23718.25,23793.25,23768.25,23793.25,25.0,50.0,2.0,23741.5,23766.75,25.25,252.5,0.0010635385295789668,25.25,1222.5687500000022,1352.0,1.1058682793912389,-1000.0,-2000.0,2025-08-10,2025-08-10,2025-08-10,2025-08-10 21:26:00,2025-08-10 22:19:00,2025-08,2025-08
LONG,,,,PULLBACK_1M,,,,,,,,,23741.5,23718.25,-23.25,-232.5,-0.0009792978539687747,-23.25,1199.3187500000022,1352.0,1.1273066480449818,-1000.0,-2000.0,2025-08-10,2025-08-10,2025-08-11,2025-08-10 21:26:00,2025-08-11 03:45:00,2025-08,2025-08
LONG,ASIA_CONTINUATION,iFVG,B,PULLBACK_1M,23960.0,23934.25,24068.5,23984.25,24068.5,25.75,108.5,4.213592233009709,23960.75,23987.25,26.5,265.0,0.0011059753972642028,26.5,1225.8187500000022,1352.0,1.1029363027772234,-1000.0,-2000.0,2025-08-12,2025-08-12,2025-08-13,2025-08-13 02:34:00,2025-08-13 03:27:00,2025-08,2025-08
LONG,,,,PULLBACK_1M,,,,,,,,,23960.75,23960.75,0.0,0.0,0.0,0.0,1225.8187500000022,1352.0,1.1029363027772234,-1000.0,-2000.0,2025-08-12,2025-08-12,2025-08-13,2025-08-13 02:34:00,2025-08-13 10:26:00,2025-08,2025-08
LONG,,,,PULLBACK_1M,,,,,,,,,23860.75,23836.5,-24.25,-242.5,-0.0010163134017162623,-48.5,1177.3187500000022,1352.0,1.1483720954924037,-1000.0,-2000.0,2025-08-17,2025-08-17,2025-08-18,2025-08-17 20:08:00,2025-08-18 02:12:00,2025-08,2025-08
SHORT,,,,PULLBACK_1M,,,,,,,,,23351.25,23376.75,-25.5,-255.0,-0.0010920186285530153,-51.0,1126.3187500000022,1352.0,1.200370676595766,-1000.0,-2000.0,2025-08-19,2025-08-19,2025-08-20,2025-08-20 00:37:00,2025-08-20 02:31:00,2025-08,2025-08
SHORT,ASIA_CONTINUATION,C2C3,B,PULLBACK_1M,23204.5,23234.808035714286,23035.0,23178.191964285714,23035.0,30.308035714286234,169.5,5.592576226248247,23204.75,23174.0,30.75,307.5,0.0013251597194540166,30.75,1157.0687500000022,1352.0,1.1684698942910674,-1000.0,-2000.0,2025-08-21,2025-08-21,2025-08-22,2025-08-21 23:01:00,2025-08-22 02:11:00,2025-08,2025-08
SHORT,,,,PULLBACK_1M,,,,,,,,,23204.75,23204.75,0.0,0.0,-0.0,-0.0,1157.0687500000022,1352.0,1.1684698942910674,-1000.0,-2000.0,2025-08-21,2025-08-21,2025-08-22,2025-08-21 23:01:00,2025-08-22 04:05:00,2025-08,2025-08
SHORT,,,,PULLBACK_1M,,,,,,,,,23435.75,23466.364285714284,-30.61428571428405,-306.1428571428405,-0.0013063070614034444,-61.2285714285681,1095.840178571434,1352.0,1.2337565517651512,-1000.0,-2000.0,2025-08-25,2025-08-25,2025-08-26,2025-08-26 03:51:00,2025-08-26 04:12:00,2025-08,2025-08
LONG,,,,PULLBACK_1M,,,,,,,,,23579.0,23553.5,-25.5,-255.0,-0.00108147080028842,-51.0,1044.840178571434,1352.0,1.2939778041925345,-1000.0,-2000.0,2025-08-27,2025-08-27,2025-08-28,2025-08-27 23:30:00,2025-08-28 01:44:00,2025-08,2025-08
LONG,,,,PULLBACK_1M,,,,,,,,,23789.25,23764.25,-25.0,-250.0,-0.001050894836953642,-50.0,994.8401785714341,1352.0,1.3590122605838444,-1000.0,-2000.0,2025-08-27,2025-08-27,2025-08-28,2025-08-28 14:57:00,2025-08-28 16:00:00,2025-08,2025-08
LONG,ASIA_CONTINUATION,iFVG,B,PULLBACK_1M,23735.5,23710.0,23785.0,23760.0,23785.0,25.5,49.5,1.9411764705882353,23735.0,23762.0,27.0,270.0,0.0011375605645671527,27.0,1021.8401785714341,1352.0,1.3231031900606416,-1000.0,-2000.0,2025-09-04,2025-09-04,2025-09-05,2025-09-04 21:58:00,2025-09-05 01:36:00,2025-09,2025-09
LONG,,,,PULLBACK_1M,,,,,,,,,23735.0,23785.0,50.0,500.0,0.002106593638087295,50.0,1071.840178571434,1352.0,1.261382085715398,-1000.0,-2000.0,2025-09-04,2025-09-04,2025-09-05,2025-09-04 21:58:00,2025-09-05 02:26:00,2025-09,2025-09
LONG,,,,PULLBACK_1M,,,,,,,,,23778.0,23747.25,-30.75,-307.5,-0.001293212212969963,-61.5,1010.3401785714341,1352.0,1.3381631540296204,-1000.0,-2000.0,2025-09-04,2025-09-04,2025-09-05,2025-09-05 02:43:00,2025-09-05 03:08:00,2025-09,2025-09
LONG,,,,PULLBACK_1M,,,,,,,,,23776.5,23752.25,-24.25,-242.5,-0.0010199146215801314,-48.5,961.8401785714341,1352.0,1.4056389305841308,-1000.0,-2000.0,2025-09-04,2025-09-04,2025-09-05,2025-09-05 04:30:00,2025-09-05 08:30:00,2025-09,2025-09
LONG,ASIA_CONTINUATION,iFVG,B,PULLBACK_1M,23816.5,23791.25,23888.0,23841.25,23888.0,25.25,71.5,2.8316831683168315,23816.25,23841.0,24.75,247.5,0.0010392064241850907,24.75,986.5901785714341,1352.0,1.370376504211377,-1000.0,-2000.0,2025-09-08,2025-09-08,2025-09-08,2025-09-08 21:56:00,2025-09-08 23:35:00,2025-09,2025-09
