side,setup_type,bridge_type,setup_tier,entry_variant,planned_entry_price,planned_stop_price,planned_target_price,partial_target_price,runner_target_price,stop_points,tp_points,planned_rr,entry_price,exit_price,realized_points,realized_dollars_5_mnq,return_pct,pnl,cycle_realized_pnl,best_day_pnl_in_cycle,consistency_ratio,qualifying_days_count,prop_daily_loss_limit,prop_max_drawdown_limit,prop_qualifying_day_target,entry_time_et,exit_time_et,entry_apex_session_date,exit_apex_session_date,calendar_exit_date_et,entry_month_et,exit_month_et,realized_dollars_10_mnq,report_contracts,realized_dollars_dynamic_contracts,entry_time_et_naive,exit_time_et_naive
LONG,LONDON_CONTINUATION,iFVG,A,PULLBACK_1M,24123.25,24098.25,24375.0,24142.0,24375.0,25.0,251.75,10.07,24122.25,24141.5,19.25,192.5,0.0007980184269709145,19.25,2372.067857142858,1186.25,0.500091089901969,,-1000.0,-2000.0,,2025-09-15 02:48:00-04:00,2025-09-15 03:09:00-04:00,2025-09-14,2025-09-14,2025-09-15,2025-09,2025-09,385.0,10,385.0,2025-09-15 02:48:00,2025-09-15 03:09:00
LONG,LONDON_CONTINUATION,iFVG,A,PULLBACK_1M,24123.25,24098.25,24375.0,24142.0,24375.0,25.0,251.75,10.07,24122.25,24303.0,180.75,1807.5,0.007493082112987048,361.5,2733.567857142858,1186.25,0.433956668352062,,-1000.0,-2000.0,,2025-09-15 02:48:00-04:00,2025-09-15 16:55:30-04:00,2025-09-14,2025-09-14,2025-09-15,2025-09,2025-09,3615.0,10,3615.0,2025-09-15 02:48:00,2025-09-15 16:55:30
LONG,ASIA_CONTINUATION,iFVG,B,PULLBACK_1M,24393.75,24368.75,24468.75,24412.5,24468.75,25.0,75.0,3.0,24390.75,24368.75,-22.0,-220.0,-0.0009019812838884089,-66.0,2667.567857142858,1186.25,0.44469346743087257,,-1000.0,-2000.0,,2025-09-16 00:25:30-04:00,2025-09-16 03:18:00-04:00,2025-09-15,2025-09-15,2025-09-16,2025-09,2025-09,-440.0,5,-220.0,2025-09-16 00:25:30,2025-09-16 03:18:00
LONG,LONDON_CONTINUATION,iFVG,A,PULLBACK_1M,24745.75,24717.25,24817.25,24761.0,24817.25,28.5,71.5,2.508771929824561,24745.5,24717.0,-28.5,-285.0,-0.0011517245559798939,-85.5,2582.067857142858,1186.25,0.4594185999869981,,-1000.0,-2000.0,,2025-09-18 03:11:30-04:00,2025-09-18 03:43:00-04:00,2025-09-17,2025-09-17,2025-09-18,2025-09,2025-09,-570.0,10,-570.0,2025-09-18 03:11:30,2025-09-18 03:43:00
LONG,ASIA_CONTINUATION,iFVG,B,PULLBACK_1M,24709.25,24684.25,24835.5,24728.0,24835.5,25.0,126.25,5.05,24709.0,24729.0,20.0,200.0,0.0008094216682179578,20.0,2602.067857142858,1186.25,0.4558874192091728,,-1000.0,-2000.0,,2025-09-19 00:29:30-04:00,2025-09-19 01:33:30-04:00,2025-09-18,2025-09-18,2025-09-19,2025-09,2025-09,400.0,5,200.0,2025-09-19 00:29:30,2025-09-19 01:33:30
LONG,ASIA_CONTINUATION,iFVG,B,PULLBACK_1M,24709.25,24684.25,24835.5,24728.0,24835.5,25.0,126.25,5.05,24709.0,24709.0,0.0,0.0,0.0,0.0,2602.067857142858,1186.25,0.4558874192091728,,-1000.0,-2000.0,,2025-09-19 00:29:30-04:00,2025-09-19 07:30:30-04:00,2025-09-18,2025-09-18,2025-09-19,2025-09,2025-09,0.0,5,0.0,2025-09-19 00:29:30,2025-09-19 07:30:30
LONG,NYPM_CONTINUATION,C2C3,A,PULLBACK_1M,24988.5,24962.75,25062.75,25006.5,25062.75,25.75,74.25,2.883495145631068,24988.25,24993.5,5.25,52.5,0.00021009874641086945,15.75,2617.817857142858,1186.25,0.4531445901643816,,-1000.0,-2000.0,,2025-09-22 14:58:30-04:00,2025-09-22 16:55:30-04:00,2025-09-21,2025-09-21,2025-09-22,2025-09,2025-09,105.0,10,105.0,2025-09-22 14:58:30,2025-09-22 16:55:30
LONG,ASIA_CONTINUATION,iFVG,B,PULLBACK_1M,24648.25,24622.25,24764.0,24666.0,24764.0,26.0,115.75,4.451923076923077,24648.0,24622.25,-25.75,-257.5,-0.001044709509899433,-77.25,2540.567857142858,1186.25,0.4669231710008588,,-1000.0,-2000.0,,2025-09-26 00:07:00-04:00,2025-09-26 00:43:30-04:00,2025-09-25,2025-09-25,2025-09-26,2025-09,2025-09,-515.0,5,-257.5,2025-09-26 00:07:00,2025-09-26 00:43:30
LONG,ASIA_CONTINUATION,C2C3,B,PULLBACK_1M,24834.75,24809.25,24909.25,24853.0,24909.25,25.5,74.5,2.9215686274509802,24835.0,24854.25,19.25,192.5,0.0007751157640427664,19.25,2559.817857142858,1186.25,0.4634118777982249,,-1000.0,-2000.0,,2025-09-28 22:21:00-04:00,2025-09-28 22:54:30-04:00,2025-09-28,2025-09-28,2025-09-28,2025-09,2025-09,385.0,5,192.5,2025-09-28 22:21:00,2025-09-28 22:54:30
LONG,ASIA_CONTINUATION,C2C3,B,PULLBACK_1M,24834.75,24809.25,24909.25,24853.0,24909.25,25.5,74.5,2.9215686274509802,24835.0,24909.25,74.25,742.5,0.002989732232736131,148.5,2708.317857142858,1186.25,0.4380025028714448,,-1000.0,-2000.0,,2025-09-28 22:21:00-04:00,2025-09-29 04:56:00-04:00,2025-09-28,2025-09-28,2025-09-29,2025-09,2025-09,1485.0,5,742.5,2025-09-28 22:21:00,2025-09-29 04:56:00
